,date,provinceNo
0,20200722,40.0
0,20200722,44.0
0,20200722,31.0
0,20200722,8.0
0,20200722,45.0
0,20200722,38.0
0,20200722,29.0
0,20200722,37.0
0,20200722,39.0
0,20200722,26.0
0,20200722,12.0
0,20200722,21.0
0,20200722,9.0
0,20200722,19.0
0,20200722,11.0
0,20200722,15.0
0,20200801,40.0
0,20200801,44.0
0,20200801,31.0
0,20200801,8.0
0,20200801,45.0
0,20200801,38.0
0,20200801,29.0
0,20200801,37.0
0,20200801,39.0
0,20200801,26.0
0,20200801,12.0
0,20200801,21.0
0,20200801,9.0
0,20200801,19.0
0,20200801,11.0
0,20200801,15.0
0,20200808,40.0
0,20200808,44.0
0,20200808,31.0
0,20200808,8.0
0,20200808,45.0
0,20200808,38.0
0,20200808,29.0
0,20200808,37.0
0,20200808,39.0
0,20200808,26.0
0,20200808,12.0
0,20200808,21.0
0,20200808,9.0
0,20200808,19.0
0,20200808,11.0
0,20200808,15.0
0,20200815,63.0
0,20200815,40.0
0,20200815,44.0
0,20200815,31.0
0,20200815,8.0
0,20200815,45.0
0,20200815,38.0
0,20200815,29.0
0,20200815,37.0
0,20200815,39.0
0,20200815,26.0
0,20200815,12.0
0,20200815,21.0
0,20200815,9.0
0,20200815,19.0
0,20200815,11.0
0,20200815,15.0
0,20200822,40.0
0,20200822,44.0
0,20200822,31.0
0,20200822,8.0
0,20200822,45.0
0,20200822,38.0
0,20200822,29.0
0,20200822,37.0
0,20200822,39.0
0,20200822,26.0
0,20200822,12.0
0,20200822,21.0
0,20200822,9.0
0,20200822,19.0
0,20200822,11.0
0,20200822,15.0
0,20200901,70.0
0,20200901,40.0
0,20200901,44.0
0,20200901,31.0
0,20200901,8.0
0,20200901,45.0
0,20200901,38.0
0,20200901,29.0
0,20200901,37.0
0,20200901,39.0
0,20200901,26.0
0,20200901,12.0
0,20200901,21.0
0,20200901,9.0
0,20200901,19.0
0,20200901,11.0
0,20200901,15.0
0,20200908,40.0
0,20200908,44.0
0,20200908,31.0
0,20200908,8.0
0,20200908,45.0
0,20200908,38.0
0,20200908,29.0
0,20200908,37.0
0,20200908,39.0
0,20200908,26.0
0,20200908,12.0
0,20200908,21.0
0,20200908,9.0
0,20200908,19.0
0,20200908,11.0
0,20200908,15.0
0,20200915,70.0
0,20200915,56.0
0,20200915,40.0
0,20200915,44.0
0,20200915,31.0
0,20200915,8.0
0,20200915,45.0
0,20200915,38.0
0,20200915,29.0
0,20200915,37.0
0,20200915,39.0
0,20200915,26.0
0,20200915,12.0
0,20200915,21.0
0,20200915,9.0
0,20200915,19.0
0,20200915,11.0
0,20200915,15.0
0,20200922,70.0
0,20200922,40.0
0,20200922,44.0
0,20200922,31.0
0,20200922,8.0
0,20200922,45.0
0,20200922,38.0
0,20200922,29.0
0,20200922,37.0
0,20200922,39.0
0,20200922,49.0
0,20200922,26.0
0,20200922,12.0
0,20200922,21.0
0,20200922,9.0
0,20200922,19.0
0,20200922,11.0
0,20200922,15.0
0,20201001,40.0
0,20201001,44.0
0,20201001,31.0
0,20201001,8.0
0,20201001,45.0
0,20201001,38.0
0,20201001,29.0
0,20201001,37.0
0,20201001,39.0
0,20201001,26.0
0,20201001,12.0
0,20201001,21.0
0,20201001,9.0
0,20201001,19.0
0,20201001,11.0
0,20201001,15.0
0,20201008,70.0
0,20201008,40.0
0,20201008,44.0
0,20201008,31.0
0,20201008,8.0
0,20201008,45.0
0,20201008,57.0
0,20201008,38.0
0,20201008,29.0
0,20201008,37.0
0,20201008,39.0
0,20201008,26.0
0,20201008,12.0
0,20201008,21.0
0,20201008,9.0
0,20201008,19.0
0,20201008,11.0
0,20201008,15.0
0,20201015,40.0
0,20201015,44.0
0,20201015,31.0
0,20201015,8.0
0,20201015,45.0
0,20201015,57.0
0,20201015,38.0
0,20201015,29.0
0,20201015,37.0
0,20201015,39.0
0,20201015,26.0
0,20201015,12.0
0,20201015,21.0
0,20201015,9.0
0,20201015,19.0
0,20201015,11.0
0,20201015,15.0
0,20201022,40.0
0,20201022,44.0
0,20201022,31.0
0,20201022,8.0
0,20201022,45.0
0,20201022,38.0
0,20201022,29.0
0,20201022,37.0
0,20201022,39.0
0,20201022,26.0
0,20201022,12.0
0,20201022,9.0
0,20201022,19.0
0,20201022,11.0
0,20201022,15.0
0,20201101,40.0
0,20201101,44.0
0,20201101,31.0
0,20201101,8.0
0,20201101,45.0
0,20201101,38.0
0,20201101,29.0
0,20201101,37.0
0,20201101,39.0
0,20201101,26.0
0,20201101,12.0
0,20201101,9.0
0,20201101,19.0
0,20201101,11.0
0,20201101,15.0
0,20201108,63.0
0,20201108,64.0
0,20201108,70.0
0,20201108,40.0
0,20201108,44.0
0,20201108,31.0
0,20201108,8.0
0,20201108,45.0
0,20201108,38.0
0,20201108,29.0
0,20201108,37.0
0,20201108,39.0
0,20201108,26.0
0,20201108,12.0
0,20201108,9.0
0,20201108,19.0
0,20201108,11.0
0,20201108,15.0
0,20201115,63.0
0,20201115,64.0
0,20201115,70.0
0,20201115,40.0
0,20201115,44.0
0,20201115,31.0
0,20201115,8.0
0,20201115,45.0
0,20201115,38.0
0,20201115,29.0
0,20201115,37.0
0,20201115,39.0
0,20201115,26.0
0,20201115,12.0
0,20201115,21.0
0,20201115,11.0
