,date,provinceNo,PM25,O3,CO,cluster
0,22/7/2020,0,9.0625,62,120,0
1,22/7/2020,1,9.276595745,42,110,0
2,22/7/2020,2,8.458333333,32,120,0
3,22/7/2020,3,9.458333333,56,120,0
4,22/7/2020,4,11.33333333,61,190,0
5,22/7/2020,5,4.5,26,80,0
6,22/7/2020,6,7.71875,87,180,2
7,22/7/2020,7,18.625,36,100,1
8,22/7/2020,10,14.20833333,96,200,2
9,22/7/2020,13,15.125,78,140,1
10,22/7/2020,20,7.541666667,66,160,0
11,22/7/2020,24,8.583333333,93,240,2
12,22/7/2020,27,10.08333333,65,150,0
13,22/7/2020,33,15.29166667,65,140,1
14,22/7/2020,34,13.22222222,54,300,2
15,22/7/2020,35,14.25,72,360,2
16,22/7/2020,36,10.04166667,92,260,2
17,22/7/2020,41,15.825,35,180,1
18,22/7/2020,43,18.27083333,40,140,1
19,22/7/2020,47,18.375,101,170,2
20,22/7/2020,49,10.83333333,58,130,0
21,22/7/2020,52,24.57894737,59,100,1
22,22/7/2020,53,13.5,85,120,1
23,22/7/2020,54,14.7,43,90,1
24,22/7/2020,56,9.25,52,90,0
25,22/7/2020,57,7.833333333,56,160,0
26,22/7/2020,63,9.375,37,130,0
27,22/7/2020,64,9.066666667,46,130,0
28,22/7/2020,69,12.875,48,100,0
29,22/7/2020,70,4.3,40,90,0
30,22/7/2020,71,7.208333333,98,220,2
31,22/7/2020,72,19.08333333,63,140,1
32,22/7/2020,73,14.33333333,47,90,1
33,22/7/2020,74,9.765957447,55,150,0
34,22/7/2020,75,18.10714286,42,230,1
35,22/7/2020,76,14.61111111,76,140,1
36,1/8/2020,0,8.854166667,37,100,0
37,1/8/2020,1,11.64583333,47,120,2
38,1/8/2020,2,8.344827586,54,110,0
39,1/8/2020,3,5.916666667,44,110,0
40,1/8/2020,4,10.08333333,67,100,2
41,1/8/2020,5,4,37,80,0
42,1/8/2020,6,8.697916667,73,100,2
43,1/8/2020,7,22.125,48,110,2
44,1/8/2020,10,12.91666667,65,140,1
45,1/8/2020,13,13.83333333,46,80,2
46,1/8/2020,20,7.583333333,44,80,0
47,1/8/2020,24,9.25,52,120,0
48,1/8/2020,27,5.25,65,120,0
49,1/8/2020,33,12,54,100,2
50,1/8/2020,34,6.104166667,76,130,1
51,1/8/2020,35,6.083333333,71,120,1
52,1/8/2020,36,7.916666667,58,80,0
53,1/8/2020,41,11.59166667,65,90,2
54,1/8/2020,43,11.10416667,54,90,2
55,1/8/2020,47,13.77083333,59,80,2
56,1/8/2020,49,5.541666667,47,90,0
57,1/8/2020,52,14.66666667,52,80,2
58,1/8/2020,53,14.04166667,77,140,1
59,1/8/2020,54,7.091666667,59,80,0
60,1/8/2020,56,5.791666667,41,80,0
61,1/8/2020,57,3.666666667,43,80,0
62,1/8/2020,63,5.333333333,98,110,1
63,1/8/2020,64,5.09375,45,100,0
64,1/8/2020,69,12.125,58,80,2
65,1/8/2020,70,4.5,46,80,0
66,1/8/2020,71,4.875,117,200,1
67,1/8/2020,72,15.91666667,94,150,1
68,1/8/2020,73,8.333333333,37,80,0
