,date,province,PM25,O3,CO,cluster
0,2020-07-22,เชียงราย,9.0625,62,120,0
1,2020-07-22,เชียงใหม่,9.27659574468085,42,110,0
2,2020-07-22,น่าน,8.458333333333334,32,120,0
3,2020-07-22,พะเยา,9.458333333333334,56,120,0
4,2020-07-22,แพร่,11.333333333333334,61,190,0
5,2020-07-22,แม่ฮ่องสอน,4.5,26,80,0
6,2020-07-22,ลำปาง,7.71875,87,180,2
7,2020-07-22,ลำพูน,18.625,36,100,1
8,2020-07-22,ขอนแก่น,14.208333333333334,96,200,2
9,2020-07-22,นครราชสีมา,15.125,78,140,1
10,2020-07-22,เลย,7.541666666666667,66,160,0
11,2020-07-22,หนองคาย,8.583333333333334,93,240,2
12,2020-07-22,อุบลราชธานี,10.083333333333334,65,150,0
13,2020-07-22,นครสวรรค์,15.291666666666666,65,140,1
14,2020-07-22,นนทบุรี,13.222222222222221,54,300,2
15,2020-07-22,ปทุมธานี,14.25,72,360,2
16,2020-07-22,พระนครศรีอยุธยา,10.041666666666666,92,260,2
17,2020-07-22,สมุทรปราการ,15.825,35,180,1
18,2020-07-22,สมุทรสาคร,18.270833333333332,40,140,1
19,2020-07-22,สระบุรี,18.375,101,170,2
20,2020-07-22,อุทัยธานี,10.833333333333334,58,130,0
21,2020-07-22,ตราด,24.57894736842105,59,100,1
22,2020-07-22,ปราจีนบุรี,13.5,85,120,1
23,2020-07-22,ระยอง,14.7,43,90,1
24,2020-07-22,กาญจนบุรี,9.25,52,90,0
25,2020-07-22,ตาก,7.833333333333333,56,160,0
26,2020-07-22,ตรัง,9.375,37,130,0
27,2020-07-22,นครศรีธรรมราช,9.066666666666666,46,130,0
28,2020-07-22,ภูเก็ต,12.875,48,100,0
29,2020-07-22,ระนอง,4.3,40,90,0
30,2020-07-22,สตูล,7.208333333333333,98,220,2
31,2020-07-22,สงขลา,19.083333333333332,63,140,1
32,2020-07-22,สุราษฎร์ธานี,14.333333333333334,47,90,1
33,2020-07-22,ยะลา,9.76595744680851,55,150,0
34,2020-07-22,กรุงเทพฯ,18.107142857142858,42,230,1
35,2020-07-22,ชลบุรี,14.61111111111111,76,140,1
36,2020-08-01,เชียงราย,8.854166666666666,37,100,0
37,2020-08-01,เชียงใหม่,11.645833333333334,47,120,2
38,2020-08-01,น่าน,8.344827586206897,54,110,0
39,2020-08-01,พะเยา,5.916666666666667,44,110,0
