,date,province,PM25,O3,CO,cluster
0,2020-07-22,เชียงราย,9.0625,62,120,Best Air
1,2020-07-22,เชียงใหม่,9.27659574468085,42,110,Best Air
2,2020-07-22,น่าน,8.458333333333334,32,120,Best Air
3,2020-07-22,พะเยา,9.458333333333334,56,120,Best Air
4,2020-07-22,แพร่,11.333333333333334,61,190,Best Air
5,2020-07-22,แม่ฮ่องสอน,4.5,26,80,Best Air
6,2020-07-22,ลำปาง,7.71875,87,180,Worst Air
7,2020-07-22,ลำพูน,18.625,36,100,Best Air
8,2020-07-22,อุตรดิตถ์,38.0,66,160,Moderate Air
9,2020-07-22,กาฬสินธ์ุ,25.0,78,150,Moderate Air
10,2020-07-22,ขอนแก่น,14.208333333333334,96,200,Worst Air
11,2020-07-22,ชัยภูมิ,10.0,46,100,Best Air
12,2020-07-22,นครพนม,23.0,56,160,Best Air
13,2020-07-22,นครราชสีมา,15.125,78,140,Best Air
14,2020-07-22,บุรีรัมย์,13.0,64,130,Best Air
15,2020-07-22,ร้อยเอ็ด,21.0,65,140,Best Air
16,2020-07-22,เลย,7.541666666666667,66,160,Best Air
17,2020-07-22,สกลนคร,20.0,76,150,Best Air
18,2020-07-22,หนองคาย,8.583333333333334,93,240,Worst Air
19,2020-07-22,อุดรธานี,18.0,71,140,Best Air
20,2020-07-22,อุบลราชธานี,10.083333333333334,65,150,Best Air
21,2020-07-22,กำแพงเพชร,38.0,71,190,Moderate Air
22,2020-07-22,นครนายก,33.0,100,140,Moderate Air
23,2020-07-22,นครสวรรค์,15.291666666666666,65,140,Best Air
24,2020-07-22,นนทบุรี,13.222222222222221,54,300,Worst Air
25,2020-07-22,ปทุมธานี,14.25,72,360,Worst Air
26,2020-07-22,พระนครศรีอยุธยา,10.041666666666666,92,260,Worst Air
27,2020-07-22,พิจิตร,30.0,64,180,Moderate Air
28,2020-07-22,พิษณุโลก,31.0,66,160,Moderate Air
29,2020-07-22,เพชรบูรณ์,13.0,35,120,Best Air
30,2020-07-22,ลพบุรี,37.0,89,170,Moderate Air
31,2020-07-22,สมุทรปราการ,15.825,35,180,Best Air
32,2020-07-22,สมุทรสาคร,18.270833333333332,40,140,Best Air
33,2020-07-22,สิงห์บุรี,52.0,86,220,Moderate Air
34,2020-07-22,สุโขทัย,31.0,60,170,Moderate Air
35,2020-07-22,สระบุรี,18.375,101,170,Worst Air
36,2020-07-22,อุทัยธานี,10.833333333333334,58,130,Best Air
37,2020-07-22,ตราด,24.57894736842105,59,100,Best Air
38,2020-07-22,ปราจีนบุรี,13.5,85,120,Best Air
39,2020-07-22,ระยอง,14.7,43,90,Best Air
40,2020-07-22,กาญจนบุรี,9.25,52,90,Best Air
41,2020-07-22,ตาก,7.833333333333333,56,160,Best Air
42,2020-07-22,ตรัง,9.375,37,130,Best Air
43,2020-07-22,นครศรีธรรมราช,9.066666666666666,46,130,Best Air
44,2020-07-22,ภูเก็ต,12.875,48,100,Best Air
45,2020-07-22,ระนอง,4.3,40,90,Best Air
46,2020-07-22,สตูล,7.208333333333333,98,220,Worst Air
47,2020-07-22,สงขลา,19.083333333333332,63,140,Best Air
48,2020-07-22,สุราษฎร์ธานี,14.333333333333334,47,90,Best Air
49,2020-07-22,ยะลา,9.76595744680851,55,150,Best Air
50,2020-07-22,กรุงเทพฯ,18.107142857142858,42,230,Best Air
51,2020-07-22,ชลบุรี,14.61111111111111,76,140,Best Air
52,2020-08-01,เชียงราย,8.854166666666666,37,100,Best Air
53,2020-08-01,เชียงใหม่,11.645833333333334,47,120,Best Air
54,2020-08-01,น่าน,8.344827586206897,54,110,Best Air
55,2020-08-01,พะเยา,5.916666666666667,44,110,Best Air
56,2020-08-01,แพร่,10.083333333333334,67,100,Best Air
57,2020-08-01,แม่ฮ่องสอน,4.0,37,80,Best Air
58,2020-08-01,ลำปาง,8.697916666666666,73,100,Best Air
59,2020-08-01,ลำพูน,22.125,48,110,Moderate Air
60,2020-08-01,อุตรดิตถ์,7.0,44,90,Best Air
61,2020-08-01,กาฬสินธ์ุ,24.0,68,140,Moderate Air
62,2020-08-01,ขอนแก่น,12.916666666666666,65,140,Worst Air
63,2020-08-01,ชัยภูมิ,11.0,48,100,Best Air
64,2020-08-01,นครพนม,13.0,52,160,Worst Air
65,2020-08-01,นครราชสีมา,13.833333333333334,46,80,Best Air
66,2020-08-01,บุรีรัมย์,12.0,56,100,Best Air
67,2020-08-01,ร้อยเอ็ด,20.0,68,140,Moderate Air
68,2020-08-01,เลย,7.583333333333333,44,80,Best Air
69,2020-08-01,สกลนคร,16.0,70,130,Worst Air
70,2020-08-01,หนองคาย,9.25,52,120,Best Air
71,2020-08-01,อุดรธานี,11.0,49,110,Best Air
72,2020-08-01,อุบลราชธานี,5.25,65,120,Best Air
73,2020-08-01,กำแพงเพชร,36.0,59,130,Moderate Air
74,2020-08-01,นครนายก,12.0,70,100,Best Air
75,2020-08-01,นครสวรรค์,12.0,54,100,Best Air
76,2020-08-01,นนทบุรี,6.104166666666667,76,130,Worst Air
77,2020-08-01,ปทุมธานี,6.083333333333333,71,120,Worst Air
78,2020-08-01,พระนครศรีอยุธยา,7.916666666666667,58,80,Best Air
79,2020-08-01,พิจิตร,12.0,54,100,Best Air
80,2020-08-01,พิษณุโลก,7.0,55,100,Best Air
81,2020-08-01,เพชรบูรณ์,3.0,35,80,Best Air
82,2020-08-01,ลพบุรี,6.0,54,90,Best Air
83,2020-08-01,สมุทรปราการ,11.591666666666667,65,90,Best Air
84,2020-08-01,สมุทรสาคร,11.104166666666666,54,90,Best Air
85,2020-08-01,สิงห์บุรี,4.0,52,80,Best Air
86,2020-08-01,สุโขทัย,3.0,50,80,Best Air
87,2020-08-01,สระบุรี,13.770833333333334,59,80,Best Air
88,2020-08-01,อุทัยธานี,5.541666666666667,47,90,Best Air
89,2020-08-01,ตราด,14.666666666666666,52,80,Best Air
90,2020-08-01,ปราจีนบุรี,14.041666666666666,77,140,Worst Air
91,2020-08-01,ระยอง,7.091666666666667,59,80,Best Air
92,2020-08-01,กาญจนบุรี,5.791666666666667,41,80,Best Air
93,2020-08-01,ตาก,3.6666666666666665,43,80,Best Air
94,2020-08-01,ตรัง,5.333333333333333,98,110,Worst Air
95,2020-08-01,นครศรีธรรมราช,5.09375,45,100,Best Air
96,2020-08-01,ภูเก็ต,12.125,58,80,Best Air
97,2020-08-01,ระนอง,4.5,46,80,Best Air
98,2020-08-01,สตูล,4.875,117,200,Worst Air
99,2020-08-01,สงขลา,15.916666666666666,94,150,Worst Air
100,2020-08-01,สุราษฎร์ธานี,8.333333333333334,37,80,Best Air
101,2020-08-01,ยะลา,7.833333333333333,78,160,Worst Air
102,2020-08-01,กรุงเทพฯ,10.44671201814059,69,110,Best Air
103,2020-08-01,ชลบุรี,9.083333333333334,62,80,Best Air
104,2020-08-08,เชียงราย,7.125,66,120,Best Air
105,2020-08-08,เชียงใหม่,11.208333333333334,49,90,Best Air
106,2020-08-08,น่าน,7.8108108108108105,50,110,Best Air
107,2020-08-08,พะเยา,6.125,65,120,Best Air
108,2020-08-08,แพร่,7.708333333333333,50,110,Best Air
109,2020-08-08,แม่ฮ่องสอน,2.4166666666666665,39,80,Best Air
110,2020-08-08,ลำปาง,5.7368421052631575,59,100,Best Air
111,2020-08-08,ลำพูน,19.375,43,80,Best Air
112,2020-08-08,อุตรดิตถ์,25.0,58,120,Moderate Air
113,2020-08-08,กาฬสินธ์ุ,30.0,78,180,Moderate Air
