,date,provinceNo,co
0,20200722,74.0,150
1,20200722,71.0,220
2,20200722,72.0,140
3,20200722,63.0,130
4,20200722,64.0,130
5,20200722,69.0,100
6,20200722,73.0,90
7,20200722,70.0,90
8,20200722,56.0,90
9,20200722,43.0,140
10,20200722,75.0,230
11,20200722,41.0,180
12,20200722,34.0,300
13,20200722,35.0,360
14,20200722,36.0,260
15,20200722,47.0,170
16,20200722,40.0,170
17,20200722,44.0,220
18,20200722,53.0,120
19,20200722,31.0,140
20,20200722,0.0,120
21,20200722,5.0,80
22,20200722,3.0,120
23,20200722,2.0,120
24,20200722,1.0,110
25,20200722,7.0,100
26,20200722,6.0,180
27,20200722,4.0,190
28,20200722,8.0,160
29,20200722,45.0,170
30,20200722,57.0,160
31,20200722,38.0,160
32,20200722,29.0,190
33,20200722,37.0,180
34,20200722,39.0,120
35,20200722,33.0,140
36,20200722,49.0,130
37,20200722,24.0,240
38,20200722,20.0,160
39,20200722,26.0,140
40,20200722,12.0,160
41,20200722,21.0,150
42,20200722,10.0,200
43,20200722,9.0,150
44,20200722,19.0,140
45,20200722,11.0,100
46,20200722,27.0,150
47,20200722,15.0,130
48,20200722,13.0,140
49,20200722,76.0,140
50,20200722,54.0,90
51,20200722,52.0,100
0,20200801,74.0,160
1,20200801,71.0,200
2,20200801,72.0,150
3,20200801,63.0,110
4,20200801,64.0,100
5,20200801,69.0,80
6,20200801,73.0,80
7,20200801,70.0,80
8,20200801,56.0,80
9,20200801,43.0,90
10,20200801,75.0,110
11,20200801,41.0,90
12,20200801,34.0,130
13,20200801,35.0,120
14,20200801,36.0,80
15,20200801,47.0,80
16,20200801,40.0,90
17,20200801,44.0,80
18,20200801,53.0,140
19,20200801,31.0,100
20,20200801,0.0,100
21,20200801,5.0,80
22,20200801,3.0,110
23,20200801,2.0,110
24,20200801,1.0,120
25,20200801,7.0,110
26,20200801,6.0,100
27,20200801,4.0,100
28,20200801,8.0,90
29,20200801,45.0,80
30,20200801,57.0,80
31,20200801,38.0,100
32,20200801,29.0,130
33,20200801,37.0,100
34,20200801,39.0,80
35,20200801,33.0,100
36,20200801,49.0,90
37,20200801,24.0,120
38,20200801,20.0,80
39,20200801,26.0,110
40,20200801,12.0,160
41,20200801,21.0,130
42,20200801,10.0,140
43,20200801,9.0,140
44,20200801,19.0,140
45,20200801,11.0,100
46,20200801,27.0,120
47,20200801,15.0,100
48,20200801,13.0,80
49,20200801,76.0,80
50,20200801,54.0,80
51,20200801,52.0,80
