,date,provinceNo,PM25
0,20200722,40,37
1,20200722,44,52
2,20200722,31,33
3,20200722,8,38
4,20200722,45,31
5,20200722,38,31
6,20200722,29,38
7,20200722,37,30
8,20200722,39,13
9,20200722,26,18
10,20200722,12,23
11,20200722,21,20
12,20200722,9,25
13,20200722,19,21
14,20200722,11,10
15,20200722,15,13
16,20200801,40,6
17,20200801,44,4
18,20200801,31,12
19,20200801,8,7
20,20200801,45,3
21,20200801,38,7
22,20200801,29,36
23,20200801,37,12
24,20200801,39,3
25,20200801,26,11
26,20200801,12,13
27,20200801,21,16
28,20200801,9,24
29,20200801,19,20
30,20200801,11,11
31,20200801,15,12
32,20200808,40,18
33,20200808,44,10
34,20200808,31,45
35,20200808,8,25
36,20200808,45,26
37,20200808,38,19
38,20200808,29,32
39,20200808,37,14
40,20200808,39,15
41,20200808,26,32
42,20200808,12,22
43,20200808,21,30
44,20200808,9,30
45,20200808,19,24
46,20200808,11,16
47,20200808,15,25
48,20200815,63,42
49,20200815,40,42
50,20200815,44,24
51,20200815,31,20
52,20200815,8,18
53,20200815,45,16
54,20200815,38,18
55,20200815,29,9
56,20200815,37,26
57,20200815,39,17
58,20200815,26,31
59,20200815,12,29
60,20200815,21,25
61,20200815,9,23
62,20200815,19,20
63,20200815,11,24
64,20200815,15,15
65,20200822,40,14
66,20200822,44,8
67,20200822,31,40
68,20200822,8,21
69,20200822,45,23
70,20200822,38,22
71,20200822,29,31
72,20200822,37,22
73,20200822,39,17
74,20200822,26,35
75,20200822,12,33
76,20200822,21,37
77,20200822,9,24
78,20200822,19,28
79,20200822,11,14
80,20200822,15,33
81,20200901,70,2
82,20200901,40,54
83,20200901,44,42
84,20200901,31,36
85,20200901,8,38
86,20200901,45,28
87,20200901,38,35
88,20200901,29,33
89,20200901,37,20
90,20200901,39,28
91,20200901,26,33
92,20200901,12,17
93,20200901,21,27
94,20200901,9,30
95,20200901,19,36
96,20200901,11,26
97,20200901,15,25
98,20200908,40,33
99,20200908,44,18
100,20200908,31,23
101,20200908,8,26
102,20200908,45,27
103,20200908,38,15
104,20200908,29,39
105,20200908,37,31
106,20200908,39,13
107,20200908,26,41
108,20200908,12,25
109,20200908,21,28
110,20200908,9,39
111,20200908,19,42
112,20200908,11,14
113,20200908,15,17
114,20200915,70,2
115,20200915,56,22
116,20200915,40,46
117,20200915,44,58
118,20200915,31,21
119,20200915,8,45
120,20200915,45,38
121,20200915,38,63
122,20200915,29,51
123,20200915,37,86
124,20200915,39,16
125,20200915,26,48
126,20200915,12,23
127,20200915,21,46
128,20200915,9,25
129,20200915,19,18
130,20200915,11,28
131,20200915,15,24
132,20200922,70,1
133,20200922,40,69
134,20200922,44,26
135,20200922,31,11
136,20200922,8,6
137,20200922,45,8
138,20200922,38,20
139,20200922,29,10
140,20200922,37,23
141,20200922,39,9
142,20200922,49,30
143,20200922,26,8
144,20200922,12,13
145,20200922,21,10
146,20200922,9,19
147,20200922,19,14
148,20200922,11,14
149,20200922,15,17
150,20201001,40,4
151,20201001,44,4
152,20201001,31,16
153,20201001,8,5
154,20201001,45,4
155,20201001,38,5
156,20201001,29,12
157,20201001,37,4
158,20201001,39,1
159,20201001,26,15
160,20201001,12,1
161,20201001,21,10
162,20201001,9,11
163,20201001,19,12
164,20201001,11,3
165,20201001,15,13
166,20201008,70,0
167,20201008,40,11
168,20201008,44,18
169,20201008,31,12
170,20201008,8,9
171,20201008,45,12
172,20201008,57,37
173,20201008,38,12
174,20201008,29,19
175,20201008,37,14
176,20201008,39,6
177,20201008,26,8
178,20201008,12,37
179,20201008,21,32
180,20201008,9,29
181,20201008,19,40
182,20201008,11,8
183,20201008,15,35
184,20201015,40,82
185,20201015,44,18
186,20201015,31,70
187,20201015,8,16
188,20201015,45,13
189,20201015,57,0
190,20201015,38,12
191,20201015,29,6
192,20201015,37,20
193,20201015,39,8
194,20201015,26,21
195,20201015,12,7
196,20201015,21,10
197,20201015,9,25
198,20201015,19,30
199,20201015,11,14
200,20201015,15,21
201,20201022,40,37
202,20201022,44,50
203,20201022,31,13
204,20201022,8,6
205,20201022,45,10
206,20201022,38,14
207,20201022,29,9
208,20201022,37,10
209,20201022,39,7
210,20201022,26,28
211,20201022,12,24
212,20201022,9,31
213,20201022,19,51
214,20201022,11,34
215,20201022,15,52
216,20201101,40,11
217,20201101,44,10
218,20201101,31,6
219,20201101,8,14
220,20201101,45,21
221,20201101,38,20
222,20201101,29,23
223,20201101,37,20
224,20201101,39,15
225,20201101,26,40
226,20201101,12,16
227,20201101,9,23
228,20201101,19,13
229,20201101,11,34
230,20201101,15,13
231,20201108,63,24
232,20201108,64,23
233,20201108,70,8
234,20201108,40,79
235,20201108,44,84
236,20201108,31,69
237,20201108,8,37
238,20201108,45,39
239,20201108,38,49
240,20201108,29,69
241,20201108,37,74
242,20201108,39,40
243,20201108,26,56
244,20201108,12,48
245,20201108,9,62
246,20201108,19,62
247,20201108,11,72
248,20201108,15,62
249,20201115,63,28
250,20201115,64,38
251,20201115,70,61
252,20201115,40,47
253,20201115,44,46
254,20201115,31,49
255,20201115,8,28
256,20201115,45,38
257,20201115,38,56
258,20201115,29,48
259,20201115,37,65
260,20201115,39,24
261,20201115,26,40
262,20201115,12,22
263,20201115,21,31
264,20201115,11,38
265,20201122,63,4
266,20201122,64,4
267,20201122,70,2
268,20201122,44,51
269,20201122,31,12
270,20201122,29,68
271,20201122,26,3
272,20201122,12,1
273,20201201,63,13
274,20201201,64,14
275,20201201,70,28
276,20201201,44,58
277,20201201,31,32
278,20201201,26,76
279,20201201,12,43
280,20201208,63,19
281,20201208,64,71
282,20201208,70,44
283,20201208,44,42
284,20201208,31,30
285,20201208,26,90
286,20201208,12,51
287,20201215,63,6
288,20201215,64,6
289,20201215,70,4
290,20201215,44,14
291,20201215,31,6
292,20201215,26,51
293,20201215,12,37
294,20201222,63,39
295,20201222,64,50
296,20201222,70,73
297,20201222,44,56
298,20201222,31,40
299,20201222,20,39
300,20201222,26,44
301,20201222,12,68
302,20210101,63,29
303,20210101,64,35
304,20210101,70,26
305,20210101,44,30
306,20210101,31,24
307,20210101,26,30
308,20210101,12,18
309,20210108,63,10
310,20210108,64,5
311,20210108,70,22
312,20210108,44,82
313,20210108,31,49
314,20210108,26,64
315,20210108,12,15
316,20210115,63,20
317,20210115,70,39
318,20210115,44,60
319,20210115,31,40
